equipo,year,pts,pj,pg,pe,pp,gf,gc
"Deportivo Cuenca","2021","22","12","7","1","4","20","10"
"River Plate Ecuador","2021","20","12","6","2","4","19","17"
"Nueve de Octubre","2021","23","13","7","2","4","21","12"
"Deportivo Quito","2021","49","23","15","4","4","39","13"
"Independiente","2021","29","12","9","2","1","24","8"
"Mushuc Runa SC","2021","12","13","3","3","7","22","24"
"Técnico Universitario","2021","10","12","2","4","6","8","12"
"ESPOLI","2021","28","22","8","4","10","27","32"
"LDU de Quito","2021","27","12","8","3","1","27","16"
"Orense SC","2021","19","13","5","4","4","17","16"
"Emelec","2021","21","10","6","3","1","19","7"
"Manta","2021","11","11","2","5","4","9","15"
"Aucas","2021","13","12","3","4","5","20","19"
"Universidad Católica","2021","12","11","2","6","3","18","18"
"Macará","2021","24","13","7","3","3","20","16"
"El Nacional","2021","33","22","8","9","5","35","17"
"Barcelona SC","2021","32","13","10","2","1","31","9"
"Delfin SC","2021","13","12","2","7","3","15","16"
"CD Olmedo","2021","5","12","0","5","7","10","25"
"CD Olmedo","2020","26","22","6","8","8","21","24"
"Deportivo Cuenca","2020","40","22","11","7","4","29","15"
"Independiente","2020","22","22","4","10","8","25","30"
"El Nacional","2020","33","22","8","9","5","35","17"
"LDU de Quito","2020","60","23","19","3","1","51","9"
"Emelec","2020","54","23","16","6","1","41","11"
"Deportivo Quito","2020","49","23","15","4","4","39","13"
"Manta","2020","40","22","11","7","4","28","17"
"Macará","2020","18","22","3","9","10","27","37"
"Universidad Católica","2020","23","22","5","8","9","30","30"
"Barcelona SC","2020","45","23","14","3","6","37","19"
"ESPOLI","2020","28","22","8","4","10","27","32"
"LDU de Quito","2019","60","23","19","3","1","51","9"
"Emelec","2019","54","23","16","6","1","41","11"
"Deportivo Quito","2019","49","23","15","4","4","39","13"
"Manta","2019","40","22","11","7","4","28","17"
"Macará","2019","18","22","3","9","10","27","37"
"Universidad Católica","2019","23","22","5","8","9","30","30"
"Barcelona SC","2019","45","23","14","3","6","37","19"
"ESPOLI","2019","28","22","8","4","10","27","32"
"CD Olmedo","2019","26","22","6","8","8","21","24"
"Deportivo Cuenca","2019","40","22","11","7","4","29","15"
"Independiente","2019","22","22","4","10","8","25","30"
"El Nacional","2019","33","22","8","9","5","35","17"
"Barcelona SC","2018","45","23","14","3","6","37","19"
"ESPOLI","2018","28","22","8","4","10","27","32"
"CD Olmedo","2018","26","22","6","8","8","21","24"
"Deportivo Cuenca","2018","40","22","11","7","4","29","15"
"Independiente","2018","22","22","4","10","8","25","30"
"El Nacional","2018","33","22","8","9","5","35","17"
"LDU de Quito","2018","60","23","19","3","1","51","9"
"Emelec","2018","54","23","16","6","1","41","11"
"Deportivo Quito","2018","49","23","15","4","4","39","13"
"Manta","2018","40","22","11","7","4","28","17"
"Macará","2018","18","22","3","9","10","27","37"
"Universidad Católica","2018","23","22","5","8","9","30","30"
"El Nacional","2017","33","22","8","9","5","35","17"
"LDU de Quito","2017","60","23","19","3","1","51","9"
"Emelec","2017","54","23","16","6","1","41","11"
"Deportivo Quito","2017","49","23","15","4","4","39","13"
"Manta","2017","40","22","11","7","4","28","17"
"Macará","2017","18","22","3","9","10","27","37"
"Universidad Católica","2017","23","22","5","8","9","30","30"
"Barcelona SC","2017","45","23","14","3","6","37","19"
"ESPOLI","2017","28","22","8","4","10","27","32"
"CD Olmedo","2017","26","22","6","8","8","21","24"
"Deportivo Cuenca","2017","40","22","11","7","4","29","15"
"Independiente","2017","22","22","4","10","8","25","30"
"Macará","2016","18","22","3","9","10","27","37"
"Universidad Católica","2016","23","22","5","8","9","30","30"
"Barcelona SC","2016","45","23","14","3","6","37","19"
"ESPOLI","2016","28","22","8","4","10","27","32"
"CD Olmedo","2016","26","22","6","8","8","21","24"
"Deportivo Cuenca","2016","40","22","11","7","4","29","15"
"Independiente","2016","22","22","4","10","8","25","30"
"El Nacional","2016","33","22","8","9","5","35","17"
"LDU de Quito","2016","60","23","19","3","1","51","9"
"Emelec","2016","54","23","16","6","1","41","11"
"Deportivo Quito","2016","49","23","15","4","4","39","13"
"Manta","2016","40","22","11","7","4","28","17"
"Independiente","2015","22","22","4","10","8","25","30"
"El Nacional","2015","33","22","8","9","5","35","17"
"LDU de Quito","2015","60","23","19","3","1","51","9"
"Emelec","2015","54","23","16","6","1","41","11"
"Deportivo Quito","2015","49","23","15","4","4","39","13"
"Manta","2015","40","22","11","7","4","28","17"
