equipo,year,pts,pj,pg,pe,pp,gf,gc
"Deportivo Cuenca","2021","5","13","0","5","8","14","25"
"River Plate Ecuador","2021","6","13","1","3","9","6","26"
"Nueve de Octubre","2021","15","12","4","3","5","16","20"
"Deportivo Quito","2021","25","23","7","4","12","26","35"
"Independiente","2021","17","11","5","2","4","18","15"
"Mushuc Runa SC","2021","20","12","5","5","2","16","13"
"Técnico Universitario","2021","17","12","4","5","3","10","9"
"ESPOLI","2021","17","22","3","8","11","17","37"
"LDU de Quito","2021","16","13","3","7","3","19","20"
"Orense SC","2021","7","12","1","4","7","7","16"
"Emelec","2021","27","13","8","3","2","27","18"
"Manta","2021","9","12","2","3","7","11","19"
"Aucas","2021","19","12","5","4","3","21","16"
"Universidad Católica","2021","29","13","9","2","2","27","13"
"Macará","2021","7","12","1","4","7","8","22"
"El Nacional","2021","21","22","5","6","11","22","33"
"Barcelona SC","2021","14","9","4","2","3","13","10"
"Delfin SC","2021","14","11","4","2","5","16","22"
"CD Olmedo","2021","8","13","2","2","9","11","36"
"CD Olmedo","2020","20","22","5","5","12","17","36"
"Deportivo Cuenca","2020","28","22","7","7","8","24","34"
"Independiente","2020","22","22","6","4","12","24","37"
"El Nacional","2020","21","22","5","6","11","22","33"
"LDU de Quito","2020","34","23","8","10","5","29","19"
"Emelec","2020","41","23","12","5","6","26","25"
"Deportivo Quito","2020","25","23","7","4","12","26","35"
"Manta","2020","11","22","1","8","13","18","46"
"Macará","2020","21","22","5","6","11","16","29"
"Universidad Católica","2020","17","22","4","5","13","18","39"
"Barcelona SC","2020","31","23","7","10","6","17","20"
"ESPOLI","2020","17","22","3","8","11","17","37"
"LDU de Quito","2019","34","23","8","10","5","29","19"
"Emelec","2019","41","23","12","5","6","26","25"
"Deportivo Quito","2019","25","23","7","4","12","26","35"
"Manta","2019","11","22","1","8","13","18","46"
"Macará","2019","21","22","5","6","11","16","29"
"Universidad Católica","2019","17","22","4","5","13","18","39"
"Barcelona SC","2019","31","23","7","10","6","17","20"
"ESPOLI","2019","17","22","3","8","11","17","37"
"CD Olmedo","2019","20","22","5","5","12","17","36"
"Deportivo Cuenca","2019","28","22","7","7","8","24","34"
"Independiente","2019","22","22","6","4","12","24","37"
"El Nacional","2019","21","22","5","6","11","22","33"
"Barcelona SC","2018","31","23","7","10","6","17","20"
"ESPOLI","2018","17","22","3","8","11","17","37"
"CD Olmedo","2018","20","22","5","5","12","17","36"
"Deportivo Cuenca","2018","28","22","7","7","8","24","34"
"Independiente","2018","22","22","6","4","12","24","37"
"El Nacional","2018","21","22","5","6","11","22","33"
"LDU de Quito","2018","34","23","8","10","5","29","19"
"Emelec","2018","41","23","12","5","6","26","25"
"Deportivo Quito","2018","25","23","7","4","12","26","35"
"Manta","2018","11","22","1","8","13","18","46"
"Macará","2018","21","22","5","6","11","16","29"
"Universidad Católica","2018","17","22","4","5","13","18","39"
"El Nacional","2017","21","22","5","6","11","22","33"
"LDU de Quito","2017","34","23","8","10","5","29","19"
"Emelec","2017","41","23","12","5","6","26","25"
"Deportivo Quito","2017","25","23","7","4","12","26","35"
"Manta","2017","11","22","1","8","13","18","46"
"Macará","2017","21","22","5","6","11","16","29"
"Universidad Católica","2017","17","22","4","5","13","18","39"
"Barcelona SC","2017","31","23","7","10","6","17","20"
"ESPOLI","2017","17","22","3","8","11","17","37"
"CD Olmedo","2017","20","22","5","5","12","17","36"
"Deportivo Cuenca","2017","28","22","7","7","8","24","34"
"Independiente","2017","22","22","6","4","12","24","37"
"Macará","2016","21","22","5","6","11","16","29"
"Universidad Católica","2016","17","22","4","5","13","18","39"
"Barcelona SC","2016","31","23","7","10","6","17","20"
"ESPOLI","2016","17","22","3","8","11","17","37"
"CD Olmedo","2016","20","22","5","5","12","17","36"
"Deportivo Cuenca","2016","28","22","7","7","8","24","34"
"Independiente","2016","22","22","6","4","12","24","37"
"El Nacional","2016","21","22","5","6","11","22","33"
"LDU de Quito","2016","34","23","8","10","5","29","19"
"Emelec","2016","41","23","12","5","6","26","25"
"Deportivo Quito","2016","25","23","7","4","12","26","35"
"Manta","2016","11","22","1","8","13","18","46"
"Independiente","2015","22","22","6","4","12","24","37"
"El Nacional","2015","21","22","5","6","11","22","33"
"LDU de Quito","2015","34","23","8","10","5","29","19"
"Emelec","2015","41","23","12","5","6","26","25"
"Deportivo Quito","2015","25","23","7","4","12","26","35"
"Manta","2015","11","22","1","8","13","18","46"
"Macará","2015","21","22","5","6","11","16","29"
"Universidad Católica","2015","17","22","4","5","13","18","39"
"Barcelona SC","2015","31","23","7","10","6","17","20"
"ESPOLI","2015","17","22","3","8","11","17","37"
"CD Olmedo","2015","20","22","5","5","12","17","36"
"Deportivo Cuenca","2015","28","22","7","7","8","24","34"
"Deportivo Quito","2014","25","23","7","4","12","26","35"
"Manta","2014","11","22","1","8","13","18","46"
"Macará","2014","21","22","5","6","11","16","29"
"Universidad Católica","2014","17","22","4","5","13","18","39"
"Barcelona SC","2014","31","23","7","10","6","17","20"
"ESPOLI","2014","17","22","3","8","11","17","37"
"CD Olmedo","2014","20","22","5","5","12","17","36"
"Deportivo Cuenca","2014","28","22","7","7","8","24","34"
"Independiente","2014","22","22","6","4","12","24","37"
"El Nacional","2014","21","22","5","6","11","22","33"
"LDU de Quito","2014","34","23","8","10","5","29","19"
"Emelec","2014","41","23","12","5","6","26","25"
"Deportivo Cuenca","2013","28","22","7","7","8","24","34"
"Independiente","2013","22","22","6","4","12","24","37"
"El Nacional","2013","21","22","5","6","11","22","33"
"LDU de Quito","2013","34","23","8","10","5","29","19"
"Emelec","2013","41","23","12","5","6","26","25"
"Deportivo Quito","2013","25","23","7","4","12","26","35"
"Manta","2013","11","22","1","8","13","18","46"
"Macará","2013","21","22","5","6","11","16","29"
"Universidad Católica","2013","17","22","4","5","13","18","39"
"Barcelona SC","2013","31","23","7","10","6","17","20"
"ESPOLI","2013","17","22","3","8","11","17","37"
"CD Olmedo","2013","20","22","5","5","12","17","36"
"LDU de Quito","2012","34","23","8","10","5","29","19"
"Emelec","2012","41","23","12","5","6","26","25"
"Deportivo Quito","2012","25","23","7","4","12","26","35"
"Manta","2012","11","22","1","8","13","18","46"
"Macará","2012","21","22","5","6","11","16","29"
"Universidad Católica","2012","17","22","4","5","13","18","39"
"Barcelona SC","2012","31","23","7","10","6","17","20"
"ESPOLI","2012","17","22","3","8","11","17","37"
"CD Olmedo","2012","20","22","5","5","12","17","36"
"Deportivo Cuenca","2012","28","22","7","7","8","24","34"
"Independiente","2012","22","22","6","4","12","24","37"
"El Nacional","2012","21","22","5","6","11","22","33"
"ESPOLI","2011","17","22","3","8","11","17","37"
"CD Olmedo","2011","20","22","5","5","12","17","36"
"Deportivo Cuenca","2011","28","22","7","7","8","24","34"
"Independiente","2011","22","22","6","4","12","24","37"
